tier,target,gene,aliases,notes,target_category,indication_focus,registry_confidence,asset_expansion_status,source_basis
Approved / validated,HER2,ERBB2,HER2; HER-2; ERBB2; Human epidermal growth factor receptor 2; CD340; trastuzumab deruxtecan; T-DXd; Enhertu; trastuzumab emtansine; T-DM1; Kadcyla; disitamab vedotin; RC48,Most validated solid-tumor ADC target; benchmark for activity and crowding.,Solid tumor,Breast; gastric; lung; pan-HER2 expressing tumors,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,TROP2,TACSTD2,TROP2; TROP-2; TACSTD2; tumor-associated calcium signal transducer 2; EGP-1; GA733-1; sacituzumab govitecan; Trodelvy; datopotamab deruxtecan; Dato-DXd; Datroway; SKB264; sac-TMT,Highly active pan-solid ADC target with major commercial momentum.,Solid tumor,Breast; lung; urothelial; endometrial; pan-epithelial,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,Nectin-4,NECTIN4,Nectin-4; NECTIN4; PVRL4; poliovirus receptor-like 4; enfortumab vedotin; Padcev,Validated urothelial ADC target and important reference for epithelial expression risk.,Solid tumor,Urothelial; breast; lung; other epithelial tumors,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,FR alpha,FOLR1,FR alpha; FRα; FR-alpha; folate receptor alpha; folate receptor 1; FOLR1; FOLR-1; mirvetuximab soravtansine; Elahere; MORAb-202; farletuzumab ecteribulin; STRO-002; luveltamab tazevibulin; luvelta,Validated ovarian ADC target; relevant to gynecologic and low-normal-expression selectivity questions.,Solid tumor,Ovarian; endometrial; NSCLC,Approved ADC target,Strong asset aliases,Approved ADC landscape / gynecologic ADC reviews
Approved / validated,Tissue Factor,F3,Tissue Factor; TF; F3; coagulation factor III; CD142; tisotumab vedotin; Tivdak,"Validated ADC target, especially cervical cancer; useful benchmark for tissue-expression toxicity.",Solid tumor,Cervical; ovarian; lung; bladder,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,EGFR,EGFR,EGFR; ERBB1; HER1; epidermal growth factor receptor; depatuxizumab mafodotin; depatux-m; ABT-414; MRG003; serclutamab talirine; BL-B01D1,Clinically established but selectivity/toxicity and broad normal expression make it a trispecific selectivity case study.,Solid tumor,Lung; head and neck; colorectal; glioblastoma,Approved / clinical ADC target,Moderate asset aliases,Approved and clinical ADC landscape reviews
Approved / validated,c-Met,MET,c-Met; MET; hepatocyte growth factor receptor; HGFR; telisotuzumab vedotin; Teliso-V; Emrelis; telisotuzumab vedotin-tllv,Recently approved/late-stage ADC target in MET-high NSCLC; strong money-flow target.,Solid tumor,NSCLC; gastric; hepatobiliary,Approved ADC target,Strong asset aliases,Market / FDA approval reporting
Approved / validated,CD19,CD19,CD19; B-lymphocyte antigen CD19; loncastuximab tesirine; Zynlonta; coltuximab ravtansine; SAR3419,Validated hematologic ADC target.,Hematologic,B-cell lymphoma; ALL,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,CD22,CD22,CD22; SIGLEC2; B-cell receptor CD22; inotuzumab ozogamicin; Besponsa; moxetumomab pasudotox,Validated hematologic ADC target.,Hematologic,ALL; B-cell malignancies,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,CD30,TNFRSF8,CD30; TNFRSF8; Ki-1 antigen; brentuximab vedotin; Adcetris,Validated hematologic ADC target.,Hematologic,Hodgkin lymphoma; anaplastic large-cell lymphoma,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
